================================================================================
                    INDEXED SCENARIOS WITHOUT EMBEDDINGS
                    FOR FAST SEARCHING
================================================================================
Generated on: November 03, 2025 at 10:29 AM
Total scenarios without embeddings: 89

[11243] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Finance | ISO Standards
[11251] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Education | PMBOK
[12111] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Information Technology | PMBOK
[12121] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Construction | PMBOK
[12131] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Healthcare | PMBOK
[12141] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Finance | PMBOK
[12151] Custom Project (Manual Configuration) | Construction | Small (< 6 months) | Education | PMBOK
[12211] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Information Technology | PMBOK
[12221] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Construction | PMBOK
[12231] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Healthcare | PMBOK
[12241] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Finance | PMBOK
[12251] Custom Project (Manual Configuration) | Construction | Medium (6-18 months) | Education | PMBOK
[12311] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Information Technology | PMBOK
[12321] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Construction | PMBOK
[12331] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Healthcare | PMBOK
[12341] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Finance | PMBOK
[12351] Custom Project (Manual Configuration) | Construction | Large (> 18 months) | Education | PMBOK
[14141] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Finance | PMBOK
[14151] Custom Project (Manual Configuration) | Marketing | Small (< 6 months) | Education | PMBOK
[14241] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Finance | PMBOK
[14251] Custom Project (Manual Configuration) | Marketing | Medium (6-18 months) | Education | PMBOK
[14351] Custom Project (Manual Configuration) | Marketing | Large (> 18 months) | Education | PMBOK
[15213] Custom Project (Manual Configuration) | Infrastructure | Medium (6-18 months) | Information Technology | ISO Standards
[21151] Custom Software Development | Software Development | Small (< 6 months) | Education | PMBOK
[21243] Custom Software Development | Software Development | Medium (6-18 months) | Finance | ISO Standards
[22111] Custom Software Development | Construction | Small (< 6 months) | Information Technology | PMBOK
[22121] Custom Software Development | Construction | Small (< 6 months) | Construction | PMBOK
[22131] Custom Software Development | Construction | Small (< 6 months) | Healthcare | PMBOK
[22141] Custom Software Development | Construction | Small (< 6 months) | Finance | PMBOK
[22151] Custom Software Development | Construction | Small (< 6 months) | Education | PMBOK
[22211] Custom Software Development | Construction | Medium (6-18 months) | Information Technology | PMBOK
[22221] Custom Software Development | Construction | Medium (6-18 months) | Construction | PMBOK
[22231] Custom Software Development | Construction | Medium (6-18 months) | Healthcare | PMBOK
[22241] Custom Software Development | Construction | Medium (6-18 months) | Finance | PMBOK
[22251] Custom Software Development | Construction | Medium (6-18 months) | Education | PMBOK
[22311] Custom Software Development | Construction | Large (> 18 months) | Information Technology | PMBOK
[22321] Custom Software Development | Construction | Large (> 18 months) | Construction | PMBOK
[22331] Custom Software Development | Construction | Large (> 18 months) | Healthcare | PMBOK
[22341] Custom Software Development | Construction | Large (> 18 months) | Finance | PMBOK
[22351] Custom Software Development | Construction | Large (> 18 months) | Education | PMBOK
[23151] Custom Software Development | Research | Small (< 6 months) | Education | PMBOK
[23251] Custom Software Development | Research | Medium (6-18 months) | Education | PMBOK
[24141] Custom Software Development | Marketing | Small (< 6 months) | Finance | PMBOK
[24151] Custom Software Development | Marketing | Small (< 6 months) | Education | PMBOK
[24241] Custom Software Development | Marketing | Medium (6-18 months) | Finance | PMBOK
[24251] Custom Software Development | Marketing | Medium (6-18 months) | Education | PMBOK
[24351] Custom Software Development | Marketing | Large (> 18 months) | Education | PMBOK
[25141] Custom Software Development | Infrastructure | Small (< 6 months) | Finance | PMBOK
[25151] Custom Software Development | Infrastructure | Small (< 6 months) | Education | PMBOK
[25241] Custom Software Development | Infrastructure | Medium (6-18 months) | Finance | PMBOK
[25251] Custom Software Development | Infrastructure | Medium (6-18 months) | Education | PMBOK
[25351] Custom Software Development | Infrastructure | Large (> 18 months) | Education | PMBOK
[32111] Innovative Product Development | Construction | Small (< 6 months) | Information Technology | PMBOK
[32121] Innovative Product Development | Construction | Small (< 6 months) | Construction | PMBOK
[32131] Innovative Product Development | Construction | Small (< 6 months) | Healthcare | PMBOK
[32141] Innovative Product Development | Construction | Small (< 6 months) | Finance | PMBOK
[32151] Innovative Product Development | Construction | Small (< 6 months) | Education | PMBOK
[32211] Innovative Product Development | Construction | Medium (6-18 months) | Information Technology | PMBOK
[32221] Innovative Product Development | Construction | Medium (6-18 months) | Construction | PMBOK
[32231] Innovative Product Development | Construction | Medium (6-18 months) | Healthcare | PMBOK
[32241] Innovative Product Development | Construction | Medium (6-18 months) | Finance | PMBOK
[32251] Innovative Product Development | Construction | Medium (6-18 months) | Education | PMBOK
[32311] Innovative Product Development | Construction | Large (> 18 months) | Information Technology | PMBOK
[32321] Innovative Product Development | Construction | Large (> 18 months) | Construction | PMBOK
[32331] Innovative Product Development | Construction | Large (> 18 months) | Healthcare | PMBOK
[32341] Innovative Product Development | Construction | Large (> 18 months) | Finance | PMBOK
[32351] Innovative Product Development | Construction | Large (> 18 months) | Education | PMBOK
[34141] Innovative Product Development | Marketing | Small (< 6 months) | Finance | PMBOK
[34151] Innovative Product Development | Marketing | Small (< 6 months) | Education | PMBOK
[34251] Innovative Product Development | Marketing | Medium (6-18 months) | Education | PMBOK
[41151] Large Government Project | Software Development | Small (< 6 months) | Education | PMBOK
[41243] Large Government Project | Software Development | Medium (6-18 months) | Finance | ISO Standards
[42111] Large Government Project | Construction | Small (< 6 months) | Information Technology | PMBOK
[42121] Large Government Project | Construction | Small (< 6 months) | Construction | PMBOK
[42131] Large Government Project | Construction | Small (< 6 months) | Healthcare | PMBOK
[42141] Large Government Project | Construction | Small (< 6 months) | Finance | PMBOK
[42151] Large Government Project | Construction | Small (< 6 months) | Education | PMBOK
[42211] Large Government Project | Construction | Medium (6-18 months) | Information Technology | PMBOK
[42221] Large Government Project | Construction | Medium (6-18 months) | Construction | PMBOK
[42231] Large Government Project | Construction | Medium (6-18 months) | Healthcare | PMBOK
[42241] Large Government Project | Construction | Medium (6-18 months) | Finance | PMBOK
[42251] Large Government Project | Construction | Medium (6-18 months) | Education | PMBOK
[42311] Large Government Project | Construction | Large (> 18 months) | Information Technology | PMBOK
[42321] Large Government Project | Construction | Large (> 18 months) | Construction | PMBOK
[42331] Large Government Project | Construction | Large (> 18 months) | Healthcare | PMBOK
[42341] Large Government Project | Construction | Large (> 18 months) | Finance | PMBOK
[42351] Large Government Project | Construction | Large (> 18 months) | Education | PMBOK
[44151] Large Government Project | Marketing | Small (< 6 months) | Education | PMBOK
[45151] Large Government Project | Infrastructure | Small (< 6 months) | Education | PMBOK
