================================================================================
                    PROCESSES WITH EMBEDDINGS
                    GENERATED WITH REFERENCES
================================================================================
Generated on: November 03, 2025 at 10:29 AM
Total scenarios with embeddings: 811

[11111] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Information Technology | PMBOK
[11112] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Information Technology | PRINCE2
[11113] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Information Technology | ISO Standards
[11121] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Construction | PMBOK
[11122] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Construction | PRINCE2
[11123] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Construction | ISO Standards
[11131] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Healthcare | PMBOK
[11132] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Healthcare | PRINCE2
[11133] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Healthcare | ISO Standards
[11141] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Finance | PMBOK
[11142] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Finance | PRINCE2
[11143] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Finance | ISO Standards
[11151] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Education | PMBOK
[11152] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Education | PRINCE2
[11153] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Education | ISO Standards
[11211] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Information Technology | PMBOK
[11212] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Information Technology | PRINCE2
[11213] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Information Technology | ISO Standards
[11221] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Construction | PMBOK
[11222] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Construction | PRINCE2
[11223] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Construction | ISO Standards
[11231] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Healthcare | PMBOK
[11232] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Healthcare | PRINCE2
[11233] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Healthcare | ISO Standards
[11241] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Finance | PMBOK
[11242] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Finance | PRINCE2
[11252] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Education | PRINCE2
[11253] Custom Project (Manual Configuration) | Software Development | Medium (6-18 months) | Education | ISO Standards
[11311] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Information Technology | PMBOK
[11312] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Information Technology | PRINCE2
[11313] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Information Technology | ISO Standards
[11321] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Construction | PMBOK
[11322] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Construction | PRINCE2
[11323] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Construction | ISO Standards
[11331] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Healthcare | PMBOK
[11332] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Healthcare | PRINCE2
[11333] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Healthcare | ISO Standards
[11341] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Finance | PMBOK
[11342] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Finance | PRINCE2
[11343] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Finance | ISO Standards
[11351] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Education | PMBOK
[11352] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Education | PRINCE2
[11353] Custom Project (Manual Configuration) | Software Development | Large (> 18 months) | Education | ISO Standards
